Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2021-09-15 17:00:00,,,1.618841,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-15.OSMO
2021-09-14 17:00:00,,,1.620439,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-14.OSMO
2021-09-13 17:00:00,,,1.625667,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-13.OSMO
2021-09-12 21:17:17,8.413442,ATOM,,,,,,,,,527B712C9746C20271A6E394DA6B4E0AA377933E42DE18E1FA9D4FB226CAE1ED-0
2021-09-12 21:16:46,42.0,AKT,6.915716,ATOM,,,,,,,C15FA45529085582AB23924403B36B2B83F2D1634F0AFB8013D1CA8F6D586609-0
2021-09-12 21:16:06,,,42.0,AKT,,,,,,,B7DB8672EAC5B82BC6DEDBAE74937E1E9F22B3BA1B0D0D7C8B1B14501CA7700E-1
2021-09-12 21:08:02,9.095839,AKT,1.497726,ATOM,,,,,,,5350AC847006A9ECB432B7778348C941CD877ECBB62405FA35902EF1DD8618E1-0
2021-09-12 20:36:35,,,0.000307000,OSMO,0.00625,OSMO,,,staking,,C51216D5B2DB7303BA3C318321EE2696852912B23012B6FC3A9FB42C282F0281-0
2021-09-12 20:19:55,,,11.736714,OSMO,0.0035,OSMO,,,staking,,3D2831493B6E1483FF26AD5F8359ADFA30103C9CB9CBEF06781FD4E9E96BE520-0
2021-09-12 17:00:00,,,1.627641,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-12.OSMO
2021-09-11 17:00:00,,,1.636337,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-11.OSMO
2021-09-10 17:00:00,,,1.652383,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-10.OSMO
2021-09-09 17:00:00,,,1.814417,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-09.OSMO
2021-09-08 22:51:57,,,28.025825,OSMO,0.0035,OSMO,,,staking,,414F9FF4650FA956733357603957A1CEB076A0AAF7AAA5688DAF2891A387B850-0
2021-09-08 17:00:00,,,1.837595,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-08.OSMO
2021-09-07 17:00:00,,,1.850897,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-07.OSMO
2021-09-06 17:00:00,,,1.870394,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-06.OSMO
2021-09-05 17:00:00,,,1.881811,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-05.OSMO
2021-09-04 17:00:00,,,1.900645,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-04.OSMO
2021-09-03 17:00:00,,,1.910975,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-03.OSMO
2021-09-02 17:00:00,,,2.129626,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-02.OSMO
2021-09-01 17:00:00,,,2.17976,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-09-01.OSMO
2021-08-31 17:00:00,,,2.183635,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-31.OSMO
2021-08-30 17:00:00,,,2.146507,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-30.OSMO
2021-08-29 20:56:56,,,0.000002000,OSMO,0.00625,OSMO,,,staking,,B0DC944234F3DF696856A6339B2EDAB26ED5E69B367EE9FF47DE9C2A0ABE54EC-0
2021-08-29 20:55:30,,,6.501767,OSMO,0.0035,OSMO,,,staking,,88659A3D7FE6B43943D528B36FAD5CD0E0D2C5E425E7250285655A1F77B012FA-0
2021-08-29 17:00:00,,,2.134376,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-29.OSMO
2021-08-28 17:08:36,,,14.811061,OSMO,0.0035,OSMO,,,staking,,7887EE4A4466F524F4D78E9077BDD68893051E17E67F5126AF7064AD6B6C0902-0
2021-08-28 17:00:00,,,2.140436,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-28.OSMO
2021-08-27 17:00:00,,,2.152851,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-27.OSMO
2021-08-26 17:00:00,,,2.257524,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-26.OSMO
2021-08-25 17:00:00,,,2.261012,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-25.OSMO
2021-08-24 17:00:00,,,2.28979,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-24.OSMO
2021-08-23 17:00:00,,,2.291938,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-23.OSMO
2021-08-22 21:01:43,,,6.552017,OSMO,0.0035,OSMO,,,staking,,F9286B7686F030AAE4AB253B401DA96E4A64093E8D7B404F3B2CFEE622530AC7-0
2021-08-22 17:00:00,,,2.305878,OSMO,,,,,staking,lp_reward,osmo16kcdjt4rvskyeuadt6hp850v529wtd9ucdxmum.2021-08-22.OSMO
